ID Xe,Thời gian vi phạm,Đường dẫn ảnh
1,2025-05-15 14:09:14,vi_pham\car_1_17.jpg
5,2025-05-15 14:09:18,vi_pham\car_5_28.jpg
2,2025-05-15 14:09:31,vi_pham\car_2_58.jpg
25,2025-05-15 14:09:39,vi_pham\car_25_78.jpg
19,2025-05-15 14:09:55,vi_pham\car_19_117.jpg
56,2025-05-15 14:10:29,vi_pham\car_56_217.jpg
22,2025-05-15 14:10:31,vi_pham\car_22_233.jpg
